TrapID,Habitat,Trap_Type,Sampling_Dates,Start_Date,End_Date,Sampling_Duration,Sampling_Session,Month,Week_of_Year,End_Day_of_the_Year,Order,Family,Lowest_Det,Count,Quad_Veg_Cover,Quad_Native_Veg_Cover,Quad_Non-Native_Veg_Cover,NQ_Native_Veg_Cover,NQ_Non-Native_Veg_Cover,Quad_Grass_Cover,Quad_Native_Grass_Cover,Quad_Non-Native_Grass_Cover,NQ_Non-Native_Grass,Quad_Herbaceous_Cover,Quad_Native_Herb_Cover,Quad_Non-Native_Herb_Cover,NQ_Native_Herb,NQ_Non-Native_Herb,Quad_Shrub_Cover_Native,NQ_Shrub_Cover_Native,NQ_Tree_Cover_Native,Moss_Cover,Bare_Ground,Thatch_Cover,Thatch_Depth_cm,Quad_Veg_Height_cm,Min_pH,Max_pH,Avg_pH,Min_Soil_Max_Salinity,Avg_Soil_Max_Salinity,Max_Soil_Max_Salinity,Min_Soil_Max_CaCO3,Avg_Soil_Max_CaCO3,Max_Soil_Max_CaCO3,Quad_Number_of_Spp,NQ_Number_of_Spp,Quad_Native_Spp,NQ_Native_Spp,Quad_Non-Native_Spp,NQ_Non-Native_Spp,Quad_Unknown_Spp_eg_Moss,NQ_Unknown_Spp_eg_Moss,Quad_Native_Grass_Spp,Quad_Non-Native_Grass_Spp,NQ_Non-Native_Grass_Spp,Quad_Native_Herb_Spp,NQ_Native_Herb_Spp,Quad_Non-Native_Herb_Spp,NQ_Non-Native_Herb_Spp,Quad_Native_Shrub_Spp,NQ_Native_Shrub_Spp,NQ_Tree_Spp,Quad_Dominant_Species_Name,Quad_Dominant_Species_Type,NQ_Dominant_Species_Name,NQ_Dominant_Species_Type
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Archaeognatha,Machilidae,Machilidae,0,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Collembola,Bourletiellidae,Bourletiellidae,298,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Collembola,Entomobryidae,Entomobryidae,106,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Collembola,Isotomidae,Isotomidae,1,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Isopoda,Armadillidiidae,Armadillidium,235,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Isopoda,Porcellionidae,Porcellio,4,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",2016-04-11,2016-04-17,6,Spring 1,April,16,109,Dermaptera,Forficulidae,Forficulidae,11,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",2016-07-11,2016-07-14,3,Summer,July,29,196,Collembola,Isotomidae,Isotomidae,0,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",2016-07-11,2016-07-14,3,Summer,July,29,196,Archaeognatha,Machilidae,Machilidae,25,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",2016-07-11,2016-07-14,3,Summer,July,29,196,Collembola,Bourletiellidae,Bourletiellidae,0,82,0,82,2,4,73.3,0,73.3,1,8.7,0,8.7,2,3,0,0,0,0,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12,0,4,28,10,3,0,1,10,2,0,0,0,4,1,0,1,6,1,0,0,0, Bromus diandrus , Non-Native Invasive Annual Grass ,0,0
